Function,Num_Users,Latency(s),TPS
calculateTotalPenalty,48,0.00895318885644277,111.6920480550786
calculateTotalPenalty,49,0.009146232994235292,109.33462996517608
calculateTotalPenalty,50,0.00962066650390625,103.94290245836638
transferFunds,2,0.03794968128204346,26.350682435722252
transferFunds,3,0.045876264572143555,21.797764254049756
transferFunds,4,0.0408092737197876,24.504234181338052
transferFunds,5,0.04120268821716309,24.27026107445697
transferFunds,6,0.03800821304321289,26.310102999661268
transferFunds,7,0.04000735282897949,24.995405326484033
transferFunds,8,0.04259461164474487,23.477147962760576
transferFunds,9,0.04161188337537977,24.031596719115658
transferFunds,10,0.04335598945617676,23.064863990955093
transferFunds,11,0.04165681925686923,24.005673448893955
transferFunds,12,0.04184349377950033,23.898578002822344
transferFunds,13,0.04374300516568697,22.8607978855651
transferFunds,14,0.04202619620731899,23.794682608602276
transferFunds,15,0.04209322929382324,23.756789792004387
transferFunds,16,0.04486273229122162,22.290216153323144
transferFunds,17,0.045175510294297165,22.13588719829552
transferFunds,18,0.04676744672987196,21.382394591177583
transferFunds,19,0.047243369253058186,21.16699159713863
transferFunds,20,0.04898885488510132,20.41280618510893
transferFunds,21,0.04757462229047503,21.019609864568725
transferFunds,22,0.04692736538973721,21.309527856398585
transferFunds,23,0.04883886420208475,20.475496642637193
transferFunds,24,0.046461155017217,21.52335643893124
transferFunds,25,0.05022050857543945,19.912183854088926
transferFunds,26,0.05049353379469652,19.804516040923897
transferFunds,27,0.05044681937606246,19.822855283409805
transferFunds,28,0.0500035115650722,19.99859547261291
transferFunds,29,0.049642908162084116,20.143864189724734
transferFunds,30,0.054061269760131835,18.497530754215887
transferFunds,31,0.051783107942150484,19.31131675443564
transferFunds,32,0.05162318795919418,19.371139976679768
transferFunds,33,0.05369869867960612,18.6224252093428
transferFunds,34,0.054577967699836284,18.322411810929335
transferFunds,35,0.05462820189339774,18.305563158593696
transferFunds,36,0.05574888653225369,17.937577989498443
transferFunds,37,0.05527259852435138,18.092147405724578
transferFunds,38,0.0564511261488262,17.714438457146585
transferFunds,39,0.057149012883504234,17.49811500748852
transferFunds,40,0.05864664912223816,17.051272578518233
transferFunds,41,0.05939088798150784,16.83759973939712
transferFunds,42,0.05766165824163528,17.342546685172127
transferFunds,43,0.060373583505319996,16.56353560513568
transferFunds,44,0.061025717041709206,16.38653421010245
transferFunds,45,0.06397149827745226,15.631961528599454
transferFunds,46,0.06275653839111328,15.934594635665983
transferFunds,47,0.06350872871723581,15.745867067381672
transferFunds,48,0.06396476924419403,15.63360599617528
transferFunds,49,0.06562854319202657,15.237272554931454
transferFunds,50,0.066874098777771,14.953472544326845
requestFunds,2,0.06121230125427246,16.336585612850204
requestFunds,3,0.06254712740580241,15.987944474444904
requestFunds,4,0.06793493032455444,14.719967993233658
requestFunds,5,0.06567487716674805,15.226522578199988
requestFunds,6,0.06421148777008057,15.573537301933555
requestFunds,7,0.07490829059055873,13.34965718902732
requestFunds,8,0.06839701533317566,14.620521014386348
requestFunds,9,0.0674546029832628,14.824785200323918
requestFunds,10,0.06622171401977539,15.100787027369543
requestFunds,11,0.06483439965681596,15.423910845064349
requestFunds,12,0.07197330395380656,13.894040499263637
requestFunds,13,0.06598179156963642,15.155696385488588
requestFunds,14,0.06397971085139684,15.629954976237089
requestFunds,15,0.06983052889506022,14.320384161815213
requestFunds,16,0.06863044202327728,14.570793521347735
requestFunds,17,0.06773147863500259,14.764183805714458
requestFunds,18,0.06658769978417291,15.017788619238173
requestFunds,19,0.07498345876994886,13.336274645159078
requestFunds,20,0.07062761783599854,14.158767216559088
