Num_Users,Action,Cost_ETH,Cost_USD_ETH,Cost_MATIC,Cost_USD_MATIC
25,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
25,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
26,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
26,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
26,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
26,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
26,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
26,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
26,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
27,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
27,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
27,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
27,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
27,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
27,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
27,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
28,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
28,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
28,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
28,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
28,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
28,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
28,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
29,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
29,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
29,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
29,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
29,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
29,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
29,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
30,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
30,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
30,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
30,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
30,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
30,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
