Action,User_Index,Gas_Used,Latency
Service_Addition,30,74430,0.05068707466125488
Service_Addition,30,74478,0.05135512351989746
Registration,31,67729,0.0416104793548584
Service_Addition,31,89466,0.045058488845825195
Service_Addition,31,74478,0.05022835731506348
Service_Addition,31,74430,0.047724008560180664
Service_Addition,31,74466,0.04895329475402832
Service_Addition,31,74478,0.042877197265625
Registration,32,67681,0.0581202507019043
Service_Addition,32,89454,0.04914498329162598
Service_Addition,32,74442,0.050156354904174805
Service_Addition,32,74466,0.049353837966918945
Service_Addition,32,74418,0.04789447784423828
Registration,33,67729,0.045099496841430664
Service_Addition,33,89418,0.05115079879760742
Service_Addition,33,74418,0.05007290840148926
Service_Addition,33,74418,0.04765677452087402
Service_Addition,33,74430,0.054648399353027344
Registration,34,67729,0.04543757438659668
Service_Addition,34,89418,0.07067155838012695
Service_Addition,34,74442,0.057544708251953125
Service_Addition,34,74430,0.06860566139221191
Service_Addition,34,74454,0.057753562927246094
Registration,35,67741,0.05490374565124512
Service_Addition,35,89478,0.052278757095336914
Service_Addition,35,74430,0.05572986602783203
Service_Addition,35,74430,0.04477405548095703
Service_Addition,35,74442,0.045755624771118164
Registration,36,67693,0.04260587692260742
Service_Addition,36,89454,0.05409741401672363
Service_Addition,36,74454,0.04606127738952637
Service_Addition,36,74442,0.052492618560791016
Service_Addition,36,74478,0.04396557807922363
Service_Addition,36,74454,0.042749881744384766
Registration,37,67741,0.044327735900878906
Service_Addition,37,89430,0.05391526222229004
Registration,38,67741,0.04567360877990723
Service_Addition,38,89466,0.05754804611206055
Service_Addition,38,74430,0.05268716812133789
Service_Addition,38,74418,0.0427250862121582
Service_Addition,38,74418,0.05625176429748535
Service_Addition,38,74442,0.04582619667053223
Registration,39,67777,0.05125093460083008
Service_Addition,39,89430,0.04665803909301758
Service_Addition,39,74418,0.05206775665283203
Service_Addition,39,74442,0.057088375091552734
Service_Addition,39,74418,0.05513501167297363
Service_Addition,39,74418,0.056188106536865234
Registration,40,67681,0.04927182197570801
Service_Addition,40,89418,0.05131340026855469
Service_Addition,40,74430,0.04976677894592285
Service_Addition,40,74466,0.052271366119384766
Service_Addition,40,74442,0.04475212097167969
Service_Addition,40,74442,0.04283571243286133
Registration,41,67765,0.050882577896118164
Service_Addition,41,89466,0.04459571838378906
Service_Addition,41,74454,0.04353618621826172
Service_Addition,41,74466,0.04419374465942383
Service_Addition,41,74442,0.0518953800201416
Registration,42,67765,0.050076961517333984
Service_Addition,42,89430,0.05819845199584961
Service_Addition,42,74430,0.052979469299316406
Service_Addition,42,74442,0.05352520942687988
Service_Addition,42,74478,0.05168557167053223
Service_Addition,42,74430,0.04489946365356445
Registration,43,67717,0.0513458251953125
Service_Addition,43,89430,0.05458807945251465
Service_Addition,43,74478,0.04766988754272461
Service_Addition,43,74466,0.051700592041015625
Service_Addition,43,74442,0.05122089385986328
Registration,44,67789,0.052410125732421875
Service_Addition,44,89466,0.04613018035888672
Service_Addition,44,74430,0.05142998695373535
Service_Addition,44,74454,0.05117225646972656
Service_Addition,44,74478,0.05099940299987793
Registration,45,67717,0.04548382759094238
Service_Addition,45,89442,0.045679569244384766
Service_Addition,45,74418,0.0541071891784668
Registration,46,67753,0.05510354042053223
Service_Addition,46,89442,0.05056118965148926
Service_Addition,46,74430,0.05160331726074219
Service_Addition,46,74442,0.045230865478515625
Service_Addition,46,74466,0.04955577850341797
Registration,47,67729,0.04660844802856445
Service_Addition,47,89430,0.048562049865722656
Registration,48,67777,0.09012341499328613
Service_Addition,48,89478,0.050690650939941406
Service_Addition,48,74418,0.04650378227233887
Service_Addition,48,74454,0.05161690711975098
